_ - congress,_ - introducedDate,_ - type,_ - url,_ - amendmentNumber,_ - number,_ - title,_ - latestAction,_ - latestAction - actionDate,_ - latestAction - text,_ - latestAction - actionTime,_ - policyArea - name
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/3?format=json,,3,Violent Crime Control and Law Enforcement Improvement Act of 1995,,1995-07-27,Committee on Judiciary. Hearings held. Hearings printed: S.Hrg. 104-573.,,Crime and Law Enforcement
104,1996-04-18,SJRES,https://api.congress.gov/v3/bill/104/sjres/51?format=json,,51,"A joint resolution saluting and congratulating Polish people around the world as, on May 3, 1996, they commemorate the 205th anniversary of the adoption of Poland's first constitution.",,1996-05-09,Referred to the Subcommittee on Civil Service.,,International Affairs
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/4?format=json,,4,Line Item Veto Act,,1996-04-09,Became Public Law No: 104-130.,,Economics and Public Finance
104,1995-12-13,SJRES,https://api.congress.gov/v3/bill/104/sjres/44?format=json,,44,A joint resolution concerning the deployment of U.S. Armed Forces in Bosnia-Herzegovina.,,1995-12-13,Held at the desk.,23:48:38,International Affairs
104,1996-04-16,SRES,https://api.congress.gov/v3/bill/104/sres/245?format=json,,245,A resolution making Majority party appointments to the Labor and Human Resources Committee.,,1996-04-16,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S3414)",,Congress
104,1995-12-22,SRES,https://api.congress.gov/v3/bill/104/sres/205?format=json,,205,A resolution to authorize testimony by Senate employees and representation by Senate Legal Counsel.,,1995-12-22,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S19284-19285)",,Congress
104,1996-01-22,SRES,https://api.congress.gov/v3/bill/104/sres/209?format=json,,209,"A resolution to provide for the approval of interim regulations applicable to the Senate and the employees of the Senate and adopted by the Board of the Office of Compliance before January 23, 1996, and for other purposes.",,1996-01-22,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S285)",,Congress
104,1996-02-01,SRES,https://api.congress.gov/v3/bill/104/sres/221?format=json,,221,A resolution to authorize testimony by a former Senate employee.,,1996-02-01,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S866)",,Congress
104,1996-02-29,SRES,https://api.congress.gov/v3/bill/104/sres/229?format=json,,229,A resolution commemorating Black History Month and contributions of African-American United States Senators.,,1996-02-29,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S1471-1474)",,Congress
104,1996-04-15,SRES,https://api.congress.gov/v3/bill/104/sres/241?format=json,,241,"A resolution in tribute to Secretary of Commerce Ronald H. Brown and other Americans who lost their lives on April 3, 1996, while in service to their country on a mission to Bosnia.",,1996-04-17,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,,Government Operations and Politics
104,1996-04-17,SRES,https://api.congress.gov/v3/bill/104/sres/246?format=json,,246,"A resolution to authorize the use of additional funds for salaries and expenses of the Special Committee to Investigate Whitewater Development Corporation and Related Matters, and for other purposes.",,1996-04-17,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S3450-3454)",,Congress
104,1995-10-12,SRES,https://api.congress.gov/v3/bill/104/sres/181?format=json,,181,A resolution relating to the appointment of Senate Legal Counsel.,,1995-10-12,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S15141)",,Congress
104,1995-06-23,SRES,https://api.congress.gov/v3/bill/104/sres/141?format=json,,141,A resolution to authorize representation by Senate Legal Counsel.,,1995-06-23,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S9008)",,Congress
104,1995-07-17,SRES,https://api.congress.gov/v3/bill/104/sres/153?format=json,,153,A resolution to make certain technical corrections to Senate Resolution 120.,,1995-07-17,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S10175-10176)",,Congress
104,1996-03-29,SRES,https://api.congress.gov/v3/bill/104/sres/239?format=json,,239,A resolution to authorize representation by Senate Legal Counsel.,,1996-03-29,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S3247)",,Congress
104,1995-06-20,SRES,https://api.congress.gov/v3/bill/104/sres/137?format=json,,137,A resolution to provide for the deposit of funds for the Senate page residence.,,1995-06-20,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S8716-8717)",,Government Operations and Politics
104,1995-11-09,SRES,https://api.congress.gov/v3/bill/104/sres/194?format=json,,194,A resolution to authorize representation by the Senate Legal Counsel.,,1995-11-09,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S16939)",,Congress
104,1996-03-29,SRES,https://api.congress.gov/v3/bill/104/sres/236?format=json,,236,A resolution appointing Members to certain Senate commitees.,,1996-03-29,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S3185)",,Congress
104,1996-05-23,SRES,https://api.congress.gov/v3/bill/104/sres/256?format=json,,256,A resolution to authorize the production of records by the Select Committee on Intelligence.,,1996-05-23,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S5632)",,Congress
104,1996-02-01,SRES,https://api.congress.gov/v3/bill/104/sres/222?format=json,,222,A resolution to authorize the production of documents by the Permanent Subcommittee on Investigations.,,1996-02-01,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S866)",,Congress
104,1995-11-29,SRES,https://api.congress.gov/v3/bill/104/sres/196?format=json,,196,"A resolution relative to the death of the Reverend Richard Halverson, late the Chaplain of the United States Senate.",,1995-11-29,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S17825)",,Congress
104,1995-12-22,SRES,https://api.congress.gov/v3/bill/104/sres/203?format=json,,203,A resolution to authorize testimony by Senate employee and representation by Senate Legal Counsel.,,1995-12-22,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S19284)",,Congress
104,1995-05-03,SRES,https://api.congress.gov/v3/bill/104/sres/113?format=json,,113,A resolution to authorize representation by Senate Legal Counsel.,,1995-05-03,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S6126-6127)",,Congress
104,1995-06-08,SRES,https://api.congress.gov/v3/bill/104/sres/129?format=json,,129,A resolution to elect Kelly D. Johnston as Secretary of the Senate.,,1995-06-08,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S7941)",,Congress
104,1995-10-12,SRES,https://api.congress.gov/v3/bill/104/sres/182?format=json,,182,A resolution relating to the appointment of Deputy Senate Legal Counsel.,,1995-10-12,"Submitted in the Senate, considered, and agreed to without amendment by Voice Vote. (consideration: CR S15141)",,Congress
104,1995-09-12,SRES,https://api.congress.gov/v3/bill/104/sres/170?format=json,,170,A resolution to appoint various Chairmen for the 104th Congress.,,1995-10-13,Star Print ordered on the resolution as considered and agreed to.,,Congress
104,1995-08-11,SRES,https://api.congress.gov/v3/bill/104/sres/166?format=json,,166,A resolution expressing support for cooperation between the Governments of Croatia and Bosnia and Herzegovina.,,1995-08-11,Referred to the Committee on Foreign Relations.,,International Affairs
104,1995-10-19,SRES,https://api.congress.gov/v3/bill/104/sres/186?format=json,,186,A resolution to authorize testimony by Senate employees and representation by Senate Legal Counsel.,,1995-10-19,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S15368)",,Congress
